short_name,dataset_column_name,Name,var_name,var_standardname,var_units,var_description,var_comment,var_comment2,var_cell_methods,time_units,time_values_min,time_values_max,TP,type_timeaxis
tmean_recent,RecentPast.avg_C.mean.med,tmean_dy_gridSTDF_recentpast,ta,air_temperature,C,Daily Mean Maximum Temperature (2 meters above ground),"extracted from gridMet (Abatzoglou, J.T., 2013)",,time: mean within days ,days since 1970-01-01,1,180,RP,timeseries
tmean_recent_rollmean,RecentPast.avg_C_rollmean.med,tmean_dy_gridSTDF_recentpast-rollmean,ta,air_temperature,C,Daily Mean Maximum Temperature (2 meters above ground),"extracted from gridMet (Abatzoglou, J.T., 2013)",rolling mean of daily values,time: mean within days time: rolling mean over days,days since 1970-01-01,1,180,RP,timeseries
tmean_recent_diffs,RecentPast.avg_C.diffs.med,tmean_dy_gridSTDF_recentpast-diffs,ta,air_temperature,C,Daily Mean Maximum Temperature (2 meters above ground),"extracted from gridMet (Abatzoglou, J.T., 2013)",difference between recent past rolling mean and historical normal rolling mean for the same mm-dd,time: mean within days time: rolling mean over days,days since 1970-01-01,1,180,RP,timeseries
ppt_recent,RecentPast.ppt.mean.med,ppt_dy_gridSTDF_recentpast,ppt,precipitation_amount,mm,Daily Accumulated Precipitation,"extracted from gridMet (Abatzoglou, J.T., 2013)",,time: mean within days ,days since 1970-01-01,1,180,RP,timeseries
ppt_recent_rollmean,RecentPast.ppt_rollsum.med,ppt_dy_gridSTDF_recentpast-rollsum,ppt,precipitation_amount,mm,Daily Accumulated Precipitation,"extracted from gridMet (Abatzoglou, J.T., 2013)",rolling sum of daily values,time: mean within days time: rolling sum over days,days since 1970-01-01,1,180,RP,timeseries
ppt_recent_diffs,RecentPast.ppt.diffs.med,ppt_dy_gridSTDF_recentpast-diffs,ppt,precipitation_amount,mm,Daily Accumulated Precipitation,"extracted from gridMet (Abatzoglou, J.T., 2013)",difference between recent past rolling sum and historical normal rolling sum for the same mm-dd,time: mean within days time: rolling mean over days,days since 1970-01-01,1,180,RP,timeseries
vwc-shallow_recent,RecentPast.VWC.Shallow.mean.med,vwc-shallow_dy_gridSTDF_recentpast,vwc,volumetric_water_content,cm/cm,Daily Volumetric Water Content in Shallow Soil Layers (0 - 15cm soil depth),,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days ,days since 1970-01-01,1,180,RP,timeseries
vwc-shallow_recent_rollmean,RecentPast.VWC.Shallow_rollmean.med,vwc-shallow_dy_gridSTDF_recentpast-rollmean,vwc,volumetric_water_content,cm/cm,Daily  Volumetric Water Content in Shallow Soil Layers (0 - 15cm soil depth),rolling mean of daily values,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: rolling mean over days,days since 1970-01-01,1,180,RP,timeseries
vwc-shallow_recent_diffs,RecentPast.VWC.Shallow.diffs.med,vwc-shallow_dy_gridSTDF_recentpast-diffs,vwc,volumetric_water_content,cm/cm,Daily  Volumetric Water Content in Shallow Soil Layers (0 - 15cm soil depth),difference between recent past rolling mean and historical normal rolling mean for the same mm-dd,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: rolling mean over days,days since 1970-01-01,1,180,RP,timeseries
vwc-med_recent,RecentPast.VWC.Intermediate.mean.med,vwc-med_dy_gridSTDF_recentpast ,vwc,volumetric_water_content,cm/cm,Daily Volumetric Water Content in Intermediate Soil Layers (16 - 50cm soil depth),,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days ,days since 1970-01-01,1,180,RP,timeseries
vwc-med_recent_rollmean,RecentPast.VWC.Intermediate_rollmean.med,vwc-med_dy_gridSTDF_recentpast-rollmean,vwc,volumetric_water_content,cm/cm,Daily Volumetric Water Content in Intermediate Soil Layers (16 - 50cm soil depth),rolling mean of daily values,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: rolling mean over days,days since 1970-01-01,1,180,RP,timeseries
vwc-med_recent_diffs,RecentPast.VWC.Intermediate.diffs.med,vwc-med_dy_gridSTDF_recentpast-diffs,vwc,volumetric_water_content,cm/cm,Daily Volumetric Water Content in Intermediate Soil Layers (16 - 50cm soil depth),difference between recent past rolling mean and historical normal rolling mean for the same mm-dd,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: rolling mean over days,days since 1970-01-01,1,180,RP,timeseries
vwc-deep_recent,RecentPast.VWC.Deep.mean.med,vwc-deep_dy_gridSTDF_recentpast,vwc,volumetric_water_content,cm/cm,Daily Volumetric Water Content in Deep Soil Layers (51 - 185cm soil depth),,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days ,days since 1970-01-01,1,180,RP,timeseries
vwc-deep_recent_rollmean,RecentPast.VWC.Deep_rollmean.med,vwc-deep_dy_gridSTDF_recentpast-rollmean,vwc,volumetric_water_content,cm/cm,Daily Volumetric Water Content in Deep Soil Layers (51 - 185cm soil depth),rolling mean of daily values,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: rolling mean over days,days since 1970-01-01,1,180,RP,timeseries
vwc-deep_recent_diffs,RecentPast.VWC.Deep.diffs.med,vwc-deep_dy_gridSTDF_recentpast-diffs,vwc,volumetric_water_content,cm/cm,Daily Volumetric Water Content in Deep Soil Layers (51 - 185cm soil depth),difference between recent past rolling mean and historical normal rolling mean for the same mm-dd,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: rolling mean over days,days since 1970-01-01,1,180,RP,timeseries
swp-shallow_recent,RecentPast.SWP.Intermediate.mean.med,swp-shallow_dy_gridSTDF_recentpast,swp,soil_water_potential,MPa,Daily Soil Water Potential in Shallow Soil Layers (0 - 15cm soil depth),,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days ,days since 1970-01-01,1,180,RP,timeseries
swp-shallow_recent_rollmean,RecentPast.SWP.Intermediate_rollmean.med,swp-shallow_dy_gridSTDF_recentpast-rollmean,swp,soil_water_potential,MPa,Daily  Soil Water Potential in Shallow Soil Layers (0 - 15cm soil depth),rolling mean of daily values,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: rolling mean over days,days since 1970-01-01,1,180,RP,timeseries
swp-shallow_recent_diffs,RecentPast.SWP.Intermediate.diffs.med,swp-shallow_dy_gridSTDF_recentpast-diffs,swp,soil_water_potential,MPa,Daily  Soil Water Potential in Shallow Soil Layers (0 - 15cm soil depth),difference between recent past rolling mean and historical normal rolling mean for the same mm-dd,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: rolling mean over days,days since 1970-01-01,1,180,RP,timeseries
swp-med_recent,RecentPast.SWP.Intermediate.mean.med,swp-med_dy_gridSTDF_recentpast,swp,soil_water_potential,MPa,Daily Soil Water Potential in Intermediate Soil Layers (16 - 50cm soil depth),,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days ,days since 1970-01-01,1,180,RP,timeseries
